fecha;hora;centenario;cordoba;la_boca;palermo
31/12/2010 00:00;13;0;0;0;s/d
31/12/2010 00:00;14;0;0;0;s/d
31/12/2010 00:00;15;0;0;0;s/d
31/12/2010 00:00;16;0;0;0;s/d
31/12/2010 00:00;17;0;0;0;s/d
31/12/2010 00:00;18;0;0;0;s/d
31/12/2010 00:00;19;0;0;0;s/d
31/12/2010 00:00;20;0;0;0;s/d
31/12/2010 00:00;21;0;0;0;s/d
31/12/2010 00:00;22;0;0;0;s/d
31/12/2010 00:00;23;0;0;0;s/d
31/12/2010 00:00;24;0;0;0;s/d
1/1/2011 00:00;1;0;0;0;s/d
1/1/2011 00:00;2;0;0;0;s/d
1/1/2011 00:00;3;0;0;0;s/d
1/1/2011 00:00;4;0;0;0;s/d
1/1/2011 00:00;5;0;0;0;s/d
1/1/2011 00:00;6;0;0;0;s/d
1/1/2011 00:00;7;0;0;0;s/d
1/1/2011 00:00;8;0;0;0;s/d
1/1/2011 00:00;9;0;0;0;s/d
1/1/2011 00:00;10;0;0;0;s/d
1/1/2011 00:00;11;0;0;0;s/d
1/1/2011 00:00;12;0;0;0;s/d
31/7/2011 00:00;13;0;0;0;s/d
31/7/2011 00:00;14;0;0;0;s/d
31/7/2011 00:00;15;0;0;0;s/d
31/7/2011 00:00;16;0;0;0;s/d
31/7/2011 00:00;17;0;0;0;s/d
31/7/2011 00:00;18;0;0;0;s/d
31/7/2011 00:00;19;0;0;0;s/d
31/7/2011 00:00;20;0;0;0;s/d
31/7/2011 00:00;21;0;0;0;s/d
31/7/2011 00:00;22;0;0;0;s/d
31/7/2011 00:00;23;0;0;0;s/d
31/7/2011 00:00;24;0;0;0;s/d
1/8/2011 00:00;1;0;0;0;s/d
1/8/2011 00:00;2;0;0;0;s/d
1/8/2011 00:00;3;0;0;0;s/d
1/8/2011 00:00;4;0;0;0;s/d
1/8/2011 00:00;5;0;0;0;s/d
1/8/2011 00:00;6;0;0;0;s/d
1/8/2011 00:00;7;0;0;0;s/d
1/8/2011 00:00;8;0;0;0;s/d
1/8/2011 00:00;9;0;0;0;s/d
1/8/2011 00:00;10;0;0;0;s/d
1/8/2011 00:00;11;0;0;0;s/d
1/8/2011 00:00;12;0;0;0;s/d
29/1/2012 00:00;12;4;11;s/d;s/d
30/12/2019 00:00;19;11;19;21;s/d
30/12/2019 00:00;15;12;37;22;s/d
30/12/2019 00:00;17;12;26;22;s/d
30/12/2019 00:00;18;12;28;27;s/d
30/12/2019 00:00;16;13;35;26;s/d
19/12/2009 00:00;12;15;18;26;s/d
30/12/2019 00:00;14;16;35;15;s/d
30/12/2019 00:00;13;18;39;23;s/d
13/11/2009 00:00;12;23;30;s/d;s/d
23/2/2011 00:00;4;1;9;6;s/d
25/12/2011 00:00;10;2;s/d;6;s/d
28/1/2012 00:00;6;2;20;s/d;s/d
1/1/2013 00:00;12;2;8;2;s/d
1/1/2013 00:00;13;2;7;2;s/d
1/1/2013 00:00;11;2;6;2;s/d
1/1/2013 00:00;10;2;6;2;s/d
1/1/2013 00:00;9;2;7;2;s/d
9/1/2022 00:00;11;2;s/d;1;s/d
25/12/2011 00:00;11;3;s/d;7;s/d
25/12/2011 00:00;9;3;s/d;7;s/d
7/1/2012 00:00;6;3;11;10;s/d
8/1/2012 00:00;10;3;17;7;s/d
8/1/2012 00:00;9;3;17;8;s/d
28/1/2012 00:00;8;3;17;s/d;s/d
28/1/2012 00:00;9;3;16;s/d;s/d
28/1/2012 00:00;7;3;17;s/d;s/d
29/1/2012 00:00;10;3;12;s/d;s/d
29/1/2012 00:00;11;3;12;s/d;s/d
29/1/2012 00:00;9;3;15;s/d;s/d
26/2/2012 00:00;12;3;11;s/d;s/d
