fecha;hora;centenario;cordoba;la_boca;palermo
31/12/2010 00:00;13;0;0;0;s/d
31/12/2010 00:00;14;0;0;0;s/d
31/12/2010 00:00;15;0;0;0;s/d
31/12/2010 00:00;16;0;0;0;s/d
31/12/2010 00:00;17;0;0;0;s/d
31/12/2010 00:00;18;0;0;0;s/d
31/12/2010 00:00;19;0;0;0;s/d
31/12/2010 00:00;20;0;0;0;s/d
31/12/2010 00:00;21;0;0;0;s/d
31/12/2010 00:00;22;0;0;0;s/d
31/12/2010 00:00;23;0;0;0;s/d
31/12/2010 00:00;24;0;0;0;s/d
1/1/2011 00:00;1;0;0;0;s/d
1/1/2011 00:00;2;0;0;0;s/d
1/1/2011 00:00;3;0;0;0;s/d
1/1/2011 00:00;4;0;0;0;s/d
1/1/2011 00:00;5;0;0;0;s/d
1/1/2011 00:00;6;0;0;0;s/d
1/1/2011 00:00;7;0;0;0;s/d
1/1/2011 00:00;8;0;0;0;s/d
1/1/2011 00:00;9;0;0;0;s/d
1/1/2011 00:00;10;0;0;0;s/d
1/1/2011 00:00;11;0;0;0;s/d
1/1/2011 00:00;12;0;0;0;s/d
31/7/2011 00:00;13;0;0;0;s/d
31/7/2011 00:00;14;0;0;0;s/d
31/7/2011 00:00;15;0;0;0;s/d
31/7/2011 00:00;16;0;0;0;s/d
31/7/2011 00:00;17;0;0;0;s/d
31/7/2011 00:00;18;0;0;0;s/d
31/7/2011 00:00;19;0;0;0;s/d
31/7/2011 00:00;20;0;0;0;s/d
31/7/2011 00:00;21;0;0;0;s/d
31/7/2011 00:00;22;0;0;0;s/d
31/7/2011 00:00;23;0;0;0;s/d
31/7/2011 00:00;24;0;0;0;s/d
1/8/2011 00:00;1;0;0;0;s/d
1/8/2011 00:00;2;0;0;0;s/d
1/8/2011 00:00;3;0;0;0;s/d
1/8/2011 00:00;4;0;0;0;s/d
1/8/2011 00:00;5;0;0;0;s/d
1/8/2011 00:00;6;0;0;0;s/d
1/8/2011 00:00;7;0;0;0;s/d
1/8/2011 00:00;8;0;0;0;s/d
1/8/2011 00:00;9;0;0;0;s/d
1/8/2011 00:00;10;0;0;0;s/d
1/8/2011 00:00;11;0;0;0;s/d
1/8/2011 00:00;12;0;0;0;s/d
29/1/2012 00:00;12;21;25;29;s/d
30/12/2019 00:00;19;s/d;s/d;s/d;s/d
30/12/2019 00:00;15;s/d;s/d;s/d;s/d
30/12/2019 00:00;17;s/d;s/d;s/d;s/d
30/12/2019 00:00;18;s/d;s/d;s/d;s/d
30/12/2019 00:00;16;s/d;s/d;s/d;s/d
19/12/2009 00:00;12;s/d;s/d;s/d;s/d
30/12/2019 00:00;14;s/d;s/d;s/d;s/d
30/12/2019 00:00;13;s/d;s/d;s/d;s/d
13/11/2009 00:00;12;s/d;s/d;s/d;s/d
23/2/2011 00:00;4;s/d;29;31;s/d
25/12/2011 00:00;10;19;37;12;s/d
28/1/2012 00:00;6;25;21;23;s/d
1/1/2013 00:00;12;40;s/d;s/d;s/d
1/1/2013 00:00;13;40;s/d;s/d;s/d
1/1/2013 00:00;11;42;s/d;s/d;s/d
1/1/2013 00:00;10;43;s/d;s/d;s/d
1/1/2013 00:00;9;42;s/d;s/d;s/d
9/1/2022 00:00;11;18;7;18;s/d
25/12/2011 00:00;11;19;36;12;s/d
25/12/2011 00:00;9;19;37;12;s/d
7/1/2012 00:00;6;47;39;50;s/d
8/1/2012 00:00;10;43;31;47;s/d
8/1/2012 00:00;9;44;32;47;s/d
28/1/2012 00:00;8;25;21;23;s/d
28/1/2012 00:00;9;25;20;23;s/d
28/1/2012 00:00;7;25;21;23;s/d
29/1/2012 00:00;10;21;25;29;s/d
29/1/2012 00:00;11;21;25;29;s/d
