hour,average
1,0.6654447174447174
2,0.6534766584766585
3,0.6257005899705015
4,0.5808780127889818
5,0.5352971639950679
6,0.4930850801479655
7,0.4566913397483346
8,0.45661978781149765
9,0.4714391691394659
10,0.4882081784386617
11,0.5043921275535626
12,0.521244031163609
13,0.5526100151745068
14,0.5693862999745353
15,0.5786335721596725
16,0.5671285860655738
17,0.5493139505228258
18,0.5443947434925449
19,0.5582925
20,0.5802728851401637
21,0.6052353956125216
22,0.6312749200098449
23,0.6518912936546976
24,0.6634595524956971
