hour,average
1,0.7078098859315589
2,0.6698580481622307
3,0.6159279918864097
4,0.5610352702359807
5,0.5076639552618201
6,0.46317395727365207
7,0.43806262729124235
8,0.4402319653326536
9,0.455772565017848
10,0.47892291985707
11,0.5090143737166325
12,0.5438340633857253
13,0.5814048299143079
14,0.6156823498830258
15,0.6388761108207005
16,0.6485774058577406
17,0.6574660397074191
18,0.6719481865284973
19,0.698096094552929
20,0.7196141068234091
21,0.7347523495046989
22,0.7446947048391183
23,0.7453078287306816
24,0.731853164556962
