hour,average
1,0.4258987603305785
2,0.4185825142265908
3,0.3997502601456816
4,0.37951423348132673
5,0.3593418982695333
6,0.34246916819732354
7,0.3374244415243101
8,0.3445955882352941
9,0.356710388247639
10,0.3665282522996058
11,0.37232025283118253
12,0.37888712661908536
13,0.38288588827111464
14,0.3874239619148373
15,0.3802212855637513
16,0.36321484992101105
17,0.34904361534419337
18,0.34895233106338397
19,0.3633809400155804
20,0.3794659442724458
21,0.39170744269894414
22,0.40444673185795166
23,0.415802882141019
24,0.42305019305019304
