hour,average
1,1.134233870967742
2,1.1241935483870968
3,1.0916935483870969
4,1.0415725806451612
5,0.9803225806451613
6,0.91875
7,0.8649397590361446
8,0.8394779116465864
9,0.8402822580645161
10,0.8391967871485944
11,0.8577822580645161
12,0.885483870967742
13,0.9376326530612245
14,0.989308943089431
15,1.0250403225806453
16,1.038467741935484
17,1.0397983870967742
18,1.0434412955465588
19,1.0548582995951417
20,1.0662753036437247
21,1.0835222672064777
22,1.10331983805668
23,1.1182995951417005
24,1.1307661290322581
