hour,average
1,17.973029528016742
2,15.996975337366218
3,14.131013545072395
4,12.687237026647967
5,12.301639344262295
6,13.903135236312588
7,16.807665342369713
8,19.067840375586854
9,19.677326968973748
10,19.31259150805271
11,18.305405405405406
12,17.554274254199047
13,17.171609632446135
14,17.07547169811321
15,17.095880681818183
16,17.695258019525802
17,19.155627605372857
18,21.096759259259258
19,23.15416763408405
20,24.348572754699465
21,24.458845351263623
22,23.702389236836
23,22.14073385973061
24,19.877584204413473
