hour,average
1,22.724527150701647
2,20.645515558267235
3,18.57902782023846
4,17.264462809917354
5,16.840539711744864
6,18.362296591955786
7,21.64070197044335
8,24.841063698206554
9,25.724844720496893
10,25.721996879875196
11,25.212919410473503
12,24.876184459886293
13,25.152015233259284
14,24.93617021276596
15,25.315348837209303
16,26.090015360983102
17,27.091989034419736
18,28.439232409381663
19,29.62408536585366
20,29.871154431922022
21,29.274306613837243
22,28.342257377547917
23,26.72511415525114
24,24.691745354858362
