hour,average
1,18.647786768205616
2,17.107108778625953
3,15.559560754356648
4,14.706261950286807
5,14.824204735709161
6,16.81511600095671
7,19.25292852020081
8,20.672013406751258
9,20.969529750479847
10,20.732706676307544
11,19.993424257184607
12,19.118819188191882
13,18.5996108002919
14,18.41304869273207
15,18.604325095057035
16,18.982497634815516
17,20.03133097762073
18,21.588318417333962
19,23.096394060806034
20,23.694923258559623
21,23.438989851309888
22,22.978034955125178
23,21.834517045454547
24,20.222617354196302
