hour,average
1,28.54294856017721
2,28.554243542435426
3,28.565356265356264
4,28.567428150331615
5,28.577837705319933
6,28.571988246816847
7,28.580882352941178
8,28.565557729941293
9,28.557621727428433
10,28.546722113502934
11,28.494749694749693
12,28.467820575329107
13,28.431185944363104
14,28.45505617977528
15,28.4414568565143
16,28.434793246880353
17,28.459088682018617
18,28.477073170731707
19,28.494258490105057
20,28.50796373437883
21,28.50908198330879
22,28.531810366003437
23,28.53530135301353
24,28.537155511811022
